10, 10, 1
80: -3, -4, 4, 4
15: -2, -1, 8, 1
45: 2, -10, -7, 6
4: 8, 8, -9, -1
5: 6, -9, -1, 10
97: -10, -7, 7, 1
68: 0, 0, 3, -5
46: 10, 8, -8, -10
19: 7, 6, -9, -6
0: 10, 8, -5, -2
75: 0, -10, -4, 6
27: -2, 6, 1, -10
64: -7, -4, 0, 1
99: 8, 0, -2, 3
25: 3, -6, -10, 1
10: -8, 0, 2, -2
63: 4, -8, -1, 10
7: -7, 4, 0, -8
57: 5, 1, -3, -1
81: 8, -7, -10, 0
2: -8, 6, 10, -10
43: -7, -9, 3, 7
22: 1, 9, -6, -2
38: 5, 4, -7, -4
60: -3, 1, 10, -10
70: -1, -5, 0, 4
34: -2, -7, 10, 0
8: 2, 7, -5, -4
30: 6, 1, -5, -8
29: -8, 5, 9, -10
52: -3, 10, 4, -4
42: -5, -6, 5, 2
32: 7, 1, -3, -7
50: -10, -1, 1, 3
59: 10, 0, -5, 9
53: 6, -6, -8, 1
88: 4, 7, -10, -3
72: 7, -5, -3, 1
23: -4, 7, 4, -1
90: 10, -1, -7, 0
84: -1, -1, 2, 10
31: 5, 1, -3, -7
41: 1, -10, -7, 5
62: 3, 6, -3, -4
93: -10, 10, 2, -10
94: 5, -10, -2, 0
1: 4, 0, -10, -6
26: -1, 10, 7, -3
16: -5, 0, 8, 4
40: 7, -1, -1, 4
85: -5, 1, 3, -1
79: 4, -3, 0, 7
54: 3, 8, -1, -9
20: -6, 9, 4, 0
33: -3, -2, 2, 0
11: -5, -3, 5, 3
18: 10, -2, -2, 9
61: -5, -3, 10, 7
98: -4, 5, 9, 0
77: -4, 8, 0, -4
6: 9, 7, -9, 0
3: 3, -10, -8, 8
48: -3, 2, 3, -6
14: 5, 9, -2, 0
51: 2, 1, -1, -4
36: 3, 8, -9, 0
69: 1, -10, -8, 1
28: 0, -8, 10, 0
71: -9, -9, 5, 5
96: -1, -1, 0, 7
9: 7, -4, 0, 2
89: -8, 0, 0, -9
92: -8, -6, 10, 8
76: 5, 0, -9, 10
86: 3, 8, 0, -8
91: 2, -7, -6, 10
65: 1, 8, -5, -3
49: 1, 2, -2, -10
66: -5, -2, 3, 6
35: -2, 5, 2, -7
73: -8, -5, 3, 10
37: -5, -10, 8, 9
78: -7, 0, 5, 6
56: 2, -4, -7, 10
24: -8, 6, 1, -6
39: 8, -1, -3, 0
21: 5, -1, -9, 7
87: 10, 8, 0, -10
44: 1, 10, -9, -1
67: -3, -10, 8, 6
12: 6, 0, -8, 9
13: 0, -4, -7, 3
58: 2, 0, 0, 4
55: -8, -1, 9, 1
95: 6, 3, -1, -7
47: 3, -6, -6, 7
83: -2, -6, 1, 1
74: 9, 4, -8, 0
17: -1, 2, 7, -4
82: -1, 9, 0, -6
